"id","label","id_parent_1_id","is_have_note","label_en"
"01","حيوانات حية","1","1","Live animals"
"02","لحوم وأحشاء وأطراف صالحة للأكل","1","1","Meat and edible meat offal"
"03","أسماك وقشريات، رخويات وغيرها من اللافقاريات المائية","1","1","Fish and crustaceans, molluscs and other aquatic invertebrates"
"04"," ألبان ومنتجات صناعة الألبان ؛ بيض طيور ؛ عسل طبيعي؛ منتجات صالحة للأكل من أصل حيواني، غير مذكورة ولا داخلة في مكان آخر","1","1","Dairy produce; birds eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
"05","منتجات أخرى من أصل حيواني، غير مذكورة ولا داخلة في مكان آخر","1","1","Products of animal origin, not elsewhere specified or included"
"06","أشجار ونباتات أخرى حية؛ بصلات وبصيلات وجذور وما شابهها؛ أزهار مقطوفة وأغصان مورقة للزينة","2","1","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
"07","خضر ونباتات وجذور ودرنات، صالحة للأكل","2","1","Edible vegetables and certain roots and tubers"
"08","فواكه وثمار قشرية صالحة للأكل؛ قشور حمضيات وقشور بطيخ أو شمام","2","1","Edible fruit and nuts; peel of citrus fruit or melons"
"09","بن وشاي ومته وبهارات وتوابل","2","1","Coffee, tea, maté and spices"
"10","حبوب","2","1","Cereals"
"11","منتجات مطاحن؛  شعير ناشظ (مالت)؛ نشاء حبوب أو جذور أو درنات؛  إينولين؛ دابوق القمح (غلوتين)","2","1","Products of the milling industry; malt; starches; inulin; wheat gluten"
"12","بذور أوثمار زيتية، حبوب وبذور وأثمار متنوعة؛ نباتات للصناعة أو للطب؛ قش وعلف","2","1","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder"
"13","صمغ اللك، صموغ وراتنجات وغيرها من عصارات وخلاصات نباتية","2","1","Lac; gums, resins and other vegetable saps and extracts"
"14","مواد ضفر نباتية، منتجات أخرى من أصل نباتي غير مذكورة ولا داخلة في مكان آخر","2","1","Vegetable plaiting materials; vegetable products not elsewhere specified or included"
"15","شحوم ودهون وزيوت حيوانية أو نباتية أو من أصل جرثومي و منتجات تفككها؛ دهون غذائية محضرة صالحة للأكل؛ شموع من أصل حيواني أو نباتي","3","1","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes."
"16","محضرات لحوم أو أسماك أو قشريات أو رخويات أو لافقريات مائية، أو حشرات","4","1","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects"
"17","سكر ومصنوعات سكرية","4","1","Sugars and sugar confectionery"
"18","كاكاو ومحضراته","4","1","Cocoa and cocoa preparations"
"19","محضرات أساسها الحبوب أو الدقيق أو النشاء أو الحليب، فطائر","4","1","Preparations of cereals, flour, starch or milk; pastrycooks products"
"20","محضرات خضر،  فواكه وأثمار قشرية أو محضرات أجزاء أخر من نباتات","4","1","Preparations of vegetables, fruit, nuts or other parts of plants"
"21","محضرات غذائية متنوعة","4","1","Miscellaneous edible preparations"
"22","مشروبات، وسوائل كحولية وخل","4","1","Beverages, spirits and vinegar"
"23","بقايا ونفايات صناعات الأغذية؛ أغذية محضرة للحيوانات","4","1","Residues and waste from the food industries; prepared animal fodder"
"24","تبغ وأبدال تبغ مصنعة، منتجات وإن كانت محتوية على نيكوتين، معدة للاستنشاق دون احتراق؛ منتجات أخر محتوية على نيكوتين معدة لإدخال النيكوتين إلى الجسم البشري","4","1","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body"
"25","ملح، كبريت، أتربة وأحجار، مواد جصية، كلس (جير)، وإسمنت","5","1","Salt; sulphur; earths and stone; plastering materials, lime and cement"
"26","خامات معادن وخبثها ورمادها","5","1","Ores, slag and ash"
"27","وقود معدني، زيوت معدنية ومنتجات تقطيرها؛ مواد قارية؛ شموع معدنية","5","1","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
"28","منتجات كيماوية غير عضوية، مركبات عضوية أو غير عضوية من معادن ثمينة أو من معادن أتربة نادرة أو من عناصر مشعة أو من نظائر (ايزوتوب ""isotopes"")","6","1","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"
"29","منتجات كيماوية عضوية","6","1","Organic chemicals"
"30","منتجات الصيدلة","6","1","Pharmaceutical products"
"31","أسمدة","6","1","Fertilisers"
"32","خلاصات للدباغة أو الصباغة؛ مواد دابغة ومشتقاتها؛ أصباغ، ألوان سطحية (بيجمنت أو بيجمنتات) ومواد ملونة أخر؛ دهانات وورنيش؛ معاجين؛ حبر","6","1","Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"
"33","زيوت عطرية، وراتنجات عطرية ""رزينويد"" محضرات عطور أو تطرية (كوزماتيك) أو تجميل (تواليت)","6","1","Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
"34","صابون، عوامل عضوية ذات نشاط سطحي، محضرات غسيل، محضرات تشحيم، شموع إصطناعية وشموع محضرة، محضرات صقل أو تلميع، شموع إضاءة وأصناف مماثلة، معاجين لصنع النماذج، ""شموع طب الأسنان"" ومحضرات لطب الأسنان أساسها الجص","6","1","Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, «dental waxes» and dental preparations with a basis of plaster"
"35","مواد زلالية، منتجات أساسها النشاء المعدل؛ غراء؛ أنزيمات","6","1","Albuminoidal substances; modified starches; glues; enzymes"
"36","بارود ومتفجرات، منتجات نارية فنية، ثقاب، خلائط معدنية لإحداث الاشتعال، مواد لهوب معينة","6","1","Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"
"37","منتجات التصوير الفوتوغرافي والسينمائي","6","1","Photographic or cinematographic goods"
"38","منتجات كيماوية متنوعة","6","1","Miscellaneous chemical products"
"39","لدائن ومصنوعاتها","7","1","Plastics and articles thereof"
"40","مطاط ومصنوعاته","7","1","Rubber and articles thereof"
"41","صلال وجلود خام ( عدا الجلود بفراء), وجلود مدبوغة أو مهيأة","8","1","Raw hides and skins (other than furskins) and leather"
"42","مصنوعات من جلد، أصناف عدة الحيوانات والسراجة، لوازم السفر، حقائب يدوية وأوعية مماثلة لها، مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز)","8","1","Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
"43","جلود بفراء طبيعية، فراء تقليدية، مصنوعاتها","8","1","Furskins and artificial fur; manufactures thereof"
"44","خشب ومصنوعاته؛ فحم خشبي.","9","1","Wood and articles of wood; wood charcoal"
"45","فلين ومصنوعاته.","9","1","Cork and articles of cork"
"46","مصنوعات من قش أو حلفاء أو غيرها من مواد الضفر؛ مصنوعات حصر وسلال","9","1","Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
"47","عجائن من خشب أو مواد ليفية سيليلوزية أخر؛ ورق أو ورق مقوى (نفايات وفضلات) بغرض إعادة التصنيع","10","1","Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard"
"48","ورق وورق مقوى (كرتون)؛ مصنوعات من عجائن الورق، أو من الورق أو الورق المقوى","10","1","Paper and paperboard; articles of paper pulp, of paper or of paperboard"
"49","كتب مطبوعة وصحف وصور وغيرها من منتجات صناعة الطباعة؛ مخطوطات يدوية، ومستنسخات وتصاميم ","10","1","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
"50","حرير طبيعي","11","1","Silk"
"51","صوف، وبر ناعم أو خشن، خيوط ونسج من شعر الخيل","11","1","Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
"52","قطن","11","0","Cotton"
"53","ألياف نسيجية نباتية أخر؛ خيوط من ورق ونسجها","11","1","Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"
"54","شعيرات تركيبية أو اصطناعية؛ صفيحات وما يشابهها من مواد نسجية تركيبية أو اصطناعية.","11","1","Man-made filaments; strip and the like of man-made textile materials"
"55","ألياف تركيبية أو اصطناعية غير مستمرة","11","1","Man-made staple fibres"
"56","حشو، لباد، ولامنسوجات؛ خيوط خاصة؛ خيوط حزم وحبال وأمراس؛ أصناف صناعة الحبال","11","1","Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"
"57","سجاد وأغطية أرضيات أخرى من مواد نسجية","11","1","Carpets and other textile floor coverings"
"58","أقمشة منسوجة خاصة؛ أقمشة ذات خمل أو زردات متحصل عليها بإدخال خيوط في أرضية مسبقة الصنع؛ مسننات (دانتيلا)؛ ديابيج؛ أصناف عقادة؛ مطرزات","11","1","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"
"59","نسج مشربة أو مطلية أو مغطاة أو منضدة؛ أصناف نسجية للاستخدام التقني أو الصناعي","11","1","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
"60","أقمشة مصنرة","11","1","Knitted or crocheted fabrics"
"61","ألبسة وتوابع ألبسة، من مصنرات","11","1","Articles of apparel and clothing accessories, knitted or crocheted"
"62","ألبسة وتوابع ألبسة، من غير المصنرات","11","1","Articles of apparel and clothing accessories, not knitted or crocheted"
"63","أصناف أخر جاهزة من مواد نسجية، مجموعات (أطقم)؛ ألبسة مستعملة وأصناف نسجية مستعملة؛ أسمال وخرق","11","1","Other made up textile articles; sets; worn clothing and worn textile articles; rags"
"64","أحذية وطماقات وأصناف مماثلة؛ أجزاء هذه الأصناف","12","1","Footwear, gaiters and the like; parts of such articles"
"65","أغطية رأس وأجزاؤها","12","1","Headgear and parts thereof"
"66","مظلات مطر و مظلات شمس، عصي المشي، عصي بمقاعد، سياط وكرابيج وأجزاء هذه الأصناف","12","1","Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"
"67","ريش وزغب محضران وأصناف منهما؛ أزهار اصطناعية؛ أصناف من شعر بشري","12","1","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair"
"68","مصنوعات من حجر أو جص أو اسمنت أو حرير صخري (اسبستوس أو أميانت) أو ميكا أو من مواد مماثلة","13","1","Articles of stone, plaster, cement, asbestos, mica or similar materials"
"69","منتجات من خزف","13","1","Ceramic products"
"70","زجاج ومصنوعاته","13","1","Glass and glassware"
"71","لؤلؤ طبيعي أو مستنبت، وأحجار كريمة أو شبه كريمة، ومعادن ثمينة ومعادن عادية مكسوة بقشرة من معادن ثمينة، ومصنوعات هذه المواد، حلي الغواية (مقلّدة)؛ نقود","14","1","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
"72","حديد صب (ظهر) وحديد صلب (فولاذ)","15","1","Iron and steel"
"73","مصنوعات من حديد صب (ظهر) أو حديد أو صلب (فولاذ)","15","1","Articles of iron or steel"
"74","نحاس ومصنوعاته","15","1","Copper and articles thereof"
"75","نيكل ومصنوعاته","15","1","Nickel and articles thereof"
"76","ألومينيوم ومصنوعاته","15","1","Aluminium and articles thereof"
"78","رصاص ومصنوعاته","15","1","Lead and articles thereof"
"79","زنك (توتياء) ومصنوعاته","15","1","Zinc and articles thereof"
"80","قصدير ومصنوعاته","15","1","Tin and articles thereof"
"81","معادن عادية أخرى؛ خلائط خزفية معدنية (سيرمت)؛ مصنوعاتها","15","0","Other base metals; cermets; articles thereof"
"82","عدد وأدوات قاطعة وأدوات مائدة وملاعق وشوك من معادن عادية، أجزاؤها من معادن عادية","15","1","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
"83","أصناف متنوعة من معادن عادية","15","1","Miscellaneous articles of base metal"
"84","مفاعلات نووية، ومراجل، وآلات وأجهزة وأدوات آلية، أجزاؤها","16","1","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
"85","آلات وأجهزة ومعدات كهربائية وأجزاؤها؛ أجهزة تسجيل وإذاعة الصوت، وأجهزة تسجيل وإذاعة الصوت والصورة في الإذاعة المرئية (تلفزيون)، أجزاء ولوازم هذه الأجهزة","16","1","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
"86","قاطرات وعربات ومعدات السكك الحديدية أو ما يماثلها، وأجزاؤها؛ أجهزة إشارة آلية، بما فيها الكهرو - آلية، لطرق المواصلات","17","1","Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
"87","عربات سيارة، جرارات، دراجات وعربات أرضية أخر، أجزاؤها ولوازمها","17","1","Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof"
"88","ملاحة جوية وفضائية","17","0","Aircraft, spacecraft, and parts thereof"
"89","ملاحة بحرية أو نهرية","17","1","Ships, boats and floating structures"
"90","أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو السينمائي أو للقياس أو للمراقبة وأدوات وأجهزة للدقة؛ أدوات وأجهزة للطب والجراحة؛ أجزاء ولوازم هذه الأدوات أو الأجهزة","18","1","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"
"91","أصناف صناعة الساعات وأجزاؤها","18","1","Clocks and watches and parts thereof"
"92","أدوات موسيقية؛ أجزاؤها ولوازمها","18","1","Musical instruments; parts and accessories of such articles"
"93","أسلحة وذخائر؛ أجزاؤها ولوازمها","19","1","Arms and ammunition; parts and accessories thereof"
"94","أثاث؛ أثاث للطب والجراحة؛ أصناف للأسرة وما يماثلها؛ أجهزة إنارة غير مذكورة ولا داخلة في مكان آخر؛ مصابيح إعلانية، إشارات مضيئة، لوحات إرشادية مضيئة وأصناف مماثلة، مبان مسبقة الصنع.","20","1","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
"95","لعب أطفال وألعاب مجتمعات وأصناف للتسلية أو للرياضة؛ أجزاؤها ولوازمها","20","1","Toys, games and sports requisites; parts and accessories thereof"
"96","مصنوعات متنوعة","20","1","Miscellaneous manufactured articles"
"97","تحف فنية، قطع للمجموعات وقطع أثرية","21","1","Works of art, collectors pieces and antiques"
