"id","note_a","note_b","additional_note","id_fee_id","name_a","name_addition","name_b","additional_note_en","name_a_en","name_addition_en","name_b_en","note_a_en","note_b_en"
"1",,,"يطبق الرسم المخفض ضمن الشروط والتحفظات التي تحددها إدارة الجمارك","07011000",,,"ملاحظة إضافية 1",NULL,NULL,NULL,NULL,NULL,NULL
"10",,,"""يقصد بعبارة """"توت عادي"""" الواردة في نص البند الفرعي 081020( توت الأشجار""""Mulberries )""""كما ورد في نص نفس البند باللغة الإنكليزية """"Blackberry """"ولم تترجم هذه العبارة الى اللغة العربية ويقصد بها(التوت الشوكي).""","08102000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"100",,,"تتألف عملية شغل الزجاج بصرياً من شحذ سطوحه بمواد شاحذة خشنة أولا ثم بأنعم فأنعم تدريجياً وهكذا تتعاقب العمليات من تخشين إلى تقويم فتنعيم فصقل تبقى داخلة في البندين 70.05 و 70.06 الأصناف المعالجة بعملية واحدة أو أكثر من العمليات السابقة للصقل، غير أن الأصناف المصقول منها وجه واحد أو أكثر صقلا كلياً أو جزئياً  للحصول على الخواص البصرية المطلوبة مستثناة منهما (البند 90.01 أو 90.02 وفقاً  لما إذا كانت مركبة أو غير مركبة - راجع شرح البندين).ينطبق ذلك أيضاً على مشتملات البند 7015.","70151000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"101",,,"""ورد في نص البند الفرعي 7019.11 عبارة """"جدائل مقطعة"""" ترجمة لعبارة """" chopped strands """"وتبيّن أن كلمة """"strand """"تعني وفقاً  لمعجم المورد: أي من الخيوط  المجدولة التي تشكل حبلاً   كما ورد نفس المعنى في معجم """" THE SHORTER OXFORD"""" ويتفق ذلك أيضاً مع العبارة الواردة في النص الفرنسي لنفس البند الفرعي """"fils coupes"""" أي خيوط مقطعة. إن النص الفرنسي للبند الفرعي 7019.11 Meches,stratifils (rovings) et fils, coupes ou non استبدل بموجب تعديل 2002 بعبارة: Fils coupes(chopped strands) , d'une longueur n'excedant pas 50mm  أي"""" خيوط مقطعة لا يتجاوز طولها 50 ملم""""""","70191100",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"102",,,"""ورد في النص الإنكليزي للبند الفرعي :7112.30""""رماد يحتوي على معادن ثمينة أومركبَّات المعادن الثمينة"""" بينما جاء في النص الفرنسي """"رماد يحتوي على معادن ثمينة أومركبَّات المعادن الثمينة، باستثناء تراب الصياغة (رماد المصوغات """" cendres d'orfevre"""" ""","71123000",,,"ملاحظة إضافية 1",NULL,NULL,NULL,NULL,NULL,NULL
"103",,,"""يقصد بعبارة """" دعامات عريضة """" الواردة في نص البند 73.01 والبند الفرعي 7301.10 (ألواح ذات مقاطع لها شكل خاص جداً ومصممة للتجميع معاً """"Palplanches"""").""","73011000",,,"ملاحظة إضافية 4 ",NULL,NULL,NULL,NULL,NULL,NULL
"104",,,"""وردت في نص البند 73.17 عبارة """" مشابك خارزة """" ترجمة لكلمة """"staples """"وهي تعني مسمار مزدوج السن له شكل الحرف""""U"""" أوسلك صغير له نفس الشكل معد ليغرز طرفاه في مجموعة أوراق ثم يلويان إلا أن الأسالك التي هي من نفس النوع والشكل المجمّعة بشكل أمشاط جاهزة للاستعمال في آلات الخرز تدخل في البند8305.""","73170000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"105",,,"""ورد في نص البند الفرعي7318.13 عبارة """" براغي برؤوس حلقية """" وهي تعرف في الأسواق المحلية تحت تسمية """"رزّة أو رزّات""""""","73181300",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"106",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74031100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"107",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74031200",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"108",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1991""","74031300",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"109",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1992""","74031900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"11",,,"""يقصد بعبارة """"توت عادي"""" الواردة في نص البند الفرعي 081020( توت الأشجار""""Mulberries )""""كما ورد في نص نفس البند باللغة الإنكليزية """"Blackberry """"ولم تترجم هذه العبارة الى اللغة العربية ويقصد بها(التوت الشوكي).""","08112000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"110",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74071000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"111",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74081100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"112",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74081900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"113",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74091100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"114",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1990""","74091900",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"115",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74101100",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"116",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74111000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"117",,,"""إن عبارة """"النحاس الأحمر"""" هي التسمية الشائعة للنحاس النقي (فيما يقابل تسمية النحاس الأصفر) وورد ذكرها في البنود الفرعية للفصل الرابع والسبعين من جدول الرسوم الجمركية الصادر في دمشق عام 1989""","74121000",,,"ملاحظة إضافية 8",NULL,NULL,NULL,NULL,NULL,NULL
"118",,,"""لتطبيق أحكام البند 74.15 و 7415.10 يقصد بعبارة """" دبابيس ورق الرسم """" مسامير صغيرة ذات رأس كبير وساق قصير ودقيق و نهاية حادة مصممة للغرز يدويّا. كما يقصد بعبارة """" مشابك خارزة """" مسمار مزدوج السن له شكل حرف """"U """"وكذلك أيضاً سلك صغير له نفس الشكل يغرز طرفاه في مجموعة من الورق ثم يلويان إلا أن الأسلاك التي هي من نفس النوع والشكل مجمّعة بشكل أمشاط جاهزة للاستعمال في آلات الخرز تدخل في البند 83.05 .""","74151000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"119",,,"""إن تعبير""""مبصومة"""" يقصد به (المنقوشة بالضغط """"Estamped)"""".""","74192000",,,"ملاحظة إضافية 9",NULL,NULL,NULL,NULL,NULL,NULL
"12",,,"""كما يقصد بكلمة """"دخن"""" الواردة في نص البند الفرعي 100820( ذرة عويجة).""","10082100",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"120",,,"""ورد تعبير""""رقائق"""" في نص البند 76.03 وفي نص البند الفرعي7603.20 ويقصد بها رقائق صغيرة (""""flakes"""").""","76032000",,,"ملاحظة إضافية 6",NULL,NULL,NULL,NULL,NULL,NULL
"121",,,"""ورد تعبير""""رقائق"""" في نص البند 78.04 وفي نص البند الفرعي7804.20 ويقصد بها رقائق صغيرة (بشرة """"flakes)""","78042000",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"122",,,"""وردت عبارة """" أشكال خاصة """" في نص البند 7904  من جدول التعريفة وفق النظام المنسّق وفق تعديلات 1966 الصادر عن """"إدارة المال والاستثمار، الإدارة العامة للشؤون الاقتصادية لدى الأمانة العامة لجامعة الدول العربية """" ترجمة لكلمة (بروفيلات """" profiles """") وقد عرف معجم لاروس الصغير ( petit Larousse illustre  """" طبعة 1989"""") كلمة بروفيليه بأنها: """" منتجات معدنية ذات أطوال كبيرة، لها مقطع ثابت ذو شكل محدد: Profile# #n.m.Produit metallurgique de grande longueur, ayant une section constant et de forme determine  وقد وردت ترجمة الكلمة المذكورة في معجم المنهل طبعة 1985 كما يلي: مجنّب (معطى جانبية معينة) قضيب ذو جانبية معينة كما وردت ترجمة الكلمة المذكورة في معجم المورد طبعة :1994الجانبية أو المظهر الجانبي كما وردت ترجمة """"بروفيل"""": جانبية أو مقطع.والمهم هو التركيز على أن الشكل الخاص هو شكل المقطع وليس شكل المنتج ككل.""","79040000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"123",,,"""وردت عبارة """" أشكال خاصة """" في نص البند 8003  من جدول التعريفة وفق النظام المنسّق وفق تعديلات 1966 الصادر عن """"إدارة المال والاستثمار، الإدارة العامة للشؤون الاقتصادية لدى الأمانة العامة لجامعة الدول العربية """" ترجمة لكلمة (بروفيلات """" profiles """") وقد عرف معجم لاروس الصغير ( petit Larousse illustre  """" طبعة 1989"""") كلمة بروفيليه بأنها: """" منتجات معدنية ذات أطوال كبيرة، لها مقطع ثابت ذو شكل محدد: Profile# #n.m.Produit metallurgique de grande longueur, ayant une section constant et de forme determine  وقد وردت ترجمة الكلمة المذكورة في معجم المنهل طبعة 1985 كما يلي: مجنّب (معطى جانبية معينة) قضيب ذو جانبية معينة كما وردت ترجمة الكلمة المذكورة في معجم المورد طبعة :1994الجانبية أو المظهر الجانبي كما وردت ترجمة """"بروفيل"""": جانبية أو مقطع.والمهم هو التركيز على أن الشكل الخاص هو شكل المقطع وليس شكل المنتج ككل.""","80030000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"124",,,"""وردت عبارة """" أشكال خاصة """" في نص البند 810295  من جدول التعريفة وفق النظام المنسّق وفق تعديلات 1966 الصادر عن """"إدارة المال والاستثمار، الإدارة العامة للشؤون الاقتصادية لدى الأمانة العامة لجامعة الدول العربية """" ترجمة لكلمة (بروفيلات """" profiles """") وقد عرف معجم لاروس الصغير ( petit Larousse illustre  """" طبعة 1989"""") كلمة بروفيليه بأنها: """" منتجات معدنية ذات أطوال كبيرة، لها مقطع ثابت ذو شكل محدد: Profile# #n.m.Produit metallurgique de grande longueur, ayant une section constant et de forme determine  وقد وردت ترجمة الكلمة المذكورة في معجم المنهل طبعة 1985 كما يلي: مجنّب (معطى جانبية معينة) قضيب ذو جانبية معينة كما وردت ترجمة الكلمة المذكورة في معجم المورد طبعة :1994الجانبية أو المظهر الجانبي كما وردت ترجمة """"بروفيل"""": جانبية أو مقطع.والمهم هو التركيز على أن الشكل الخاص هو شكل المقطع وليس شكل المنتج ككل.""","81029500",,,"ملاحظة إضافية 2",NULL,NULL,NULL,NULL,NULL,NULL
"125",,,"""وردت عبارة """"مقفلة بدون نهايات"""" في نص البند الفرعي 8202.20 في مؤلف جدول التعريفة الجمركية المعد وفقاً للنظام المنسق وتعديلاته لعام 1996  من قبل الأمانة العامة الإدارة العامة للشؤون الاقتصادية، إدارة المال والتجارة والاستثمار لدى جامعة الدول العربية"""" و يقصد بها: تلك التي لها شكل دائرة مرنة كما لو كانت موصولة النهايات بحيث اتخذت شكل الدائرة المرنة.""","82022000",,,"ملاحظة إضافية 2",NULL,NULL,NULL,NULL,NULL,NULL
"126",,,"""لم ترد في نص البند 82.04 من الجدول المذكور أعلاه عبارة """"عدا مفاتيح الحنفيات"""" الواردة في جدول التعريفة الجمركية المنسقة لجمهورية مصر العربية الصادر في /13/ 2 / 1994 ترجمة لعبارة """"not including tap wrenches """"الواردة في النص الإنكليزي لنفس البند والتي تخضع للبند 82.05 .كما أن المقصود بعبارة """"قابلة للتعديل"""" الواردة في نص البند 8204.12 هو """"تعديل المسافة ما بين فكي المفتاح"""".""","82042000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"127",,,"""وردت عبارة """"رؤوس ربط قابلة للتبديل"""" في نص البند 82.04 وعبارة """"مفاتيح ربط قابلة للتبديل"""" في نص البند الفرعي820420 في مؤلف""""جدول التعريفة الجمركية المعد وفقاً للنظام المنسق وتعديلاته  لعام 1996 من قبل الأمانة العامة الإدارة العامة للشؤون الاقتصادية،إدارة المال والتجارة والاستثمار لدى جامعة الدول العربية """" في حين وردت هاتان العبارتان في النص الإنكليزي لكلا البندين الرئيسي والفرعي"""" interchangeable spanner  sockets """" كما وردت في النص الفرنسي """"douilles de serrage interchangeables"""" لنفس البندين المذكورين في المؤلف الصادر عن منظمةالجمارك العالمية"""" مجلس  التعاون الجمركي"""" بدون تغيير وهي في واقع الأمر رؤوس لمفاتيح الربط قابلة للتبديل تتخذ شكل رؤوس البراغي أو العزق المراد حلها ويتضح من التسمية الأجنبية أنها سوك"""" sockets """"وتعرف أيضاً باللهجة العامية المحلية بتسمية """"كشاتبين""""""","82042000",,,"ملاحظة إضافية 9",NULL,NULL,NULL,NULL,NULL,NULL
"128",,,"""لم ترد في نص البند 82.04 من الجدول المذكور أعلاه عبارة """"عدا مفاتيح الحنفيات"""" الواردة في جدول التعريفة الجمركية المنسقة لجمهورية مصر العربية الصادر في /13/ 2 / 1994 ترجمة لعبارة """"not including tap wrenches """"الواردة في النص الإنكليزي لنفس البند والتي تخضع للبند 82.05 .كما أن المقصود بعبارة """"قابلة للتعديل"""" الواردة في نص البند 8204.12 هو """"تعديل المسافة ما بين فكي المفتاح"""".""","82051000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"129",,,"""وردت في نص البند 82.07 وفي البندين الفرعيين 8205.10 و8207.40 كلمة """" لولبة """" بينما ورد في الأصل المترجم عنه، لولبة السطح الخارجي للسطوح االسطوانية """" threading"""" أو بالفرنسية """"filetage """" ولولبة السطح الداخلي للثقوب""""tapping""""التي تعني يلولب من الداخل وفقا لمعجم المورد ويقابلها في النص الفرنسي"""" taraudage"""" ووردت ترجمتها في المعاجم،اللولبة من الداخل: v.tr. Executer un filetage a l'intertieur d'un trou tarauder""","82051000",,,"ملاحظة إضافية 4 ",NULL,NULL,NULL,NULL,NULL,NULL
"13",,,"""كما يقصد بكلمة """"دخن"""" الواردة في نص البند الفرعي 100820( ذرة عويجة).""","10082900",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"130",,,"""وردت في نص البند 82.07 وفي البندين الفرعيين 8205.10 و8207.40 كلمة """" لولبة """" بينما ورد في الأصل المترجم عنه، لولبة السطح الخارجي للسطوح االسطوانية """" threading"""" أو بالفرنسية """"filetage """" ولولبة السطح الداخلي للثقوب""""tapping""""التي تعني يلولب من الداخل وفقا لمعجم المورد ويقابلها في النص الفرنسي"""" taraudage"""" ووردت ترجمتها في المعاجم،اللولبة من الداخل: tarauder v.tr. Executer un filetage a l'intertieur d'un trou ""","82074000",,,"ملاحظة إضافية 4 ",NULL,NULL,NULL,NULL,NULL,NULL
"131",,,"""وردت في نص البند الفرعي 8207.60 من الجدو ل المذكور أعلاه كلمتي """"للتقعير أو التقوير"""" وقد ورد في نص نفس البند بالفرنسية """"aleser """"وتعني شغل السطوح الداخلية للأنابيب والثقوب بحيث تصبح مطابقة تماما للأقطار الصحيحة."""" Aleser. Polir et mettre au diamettre exacte l'interieur d'un tube d'un trou """" ويقابلها في النص اإلنكليزي""""bore """"ووردت ترجمتها في معجم المورد،عيار قطر داخلي، كما ورد تفسيرها في معجم أوكسفورد: تجويف اسطوانة بشكل متساوي """"to hollow out evenly cylinder """" أما الكلمة الأخرى الواردة في النص الفرنسي """"brocher """"فهي تعني شغل الثقوب بواسطة أداة """"broche """"لضبط مقاس أقطارها أو لتفريضها ويقابلها بالإنكليزية """"broach 'وقد وردت ترجمتها في معجم المورد: يوسّع ثقبا""","82076000",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"132",,,"""ورد في نص الند الفرعي 8207.70 عبارة أدوات للتفريز ويقصد بها (توسيع الثقوب وغير ذلك من أشغال الآلة المعروفة بالفريزة """"fraise"""")""","82077000",,,"ملاحظة إضافية 6",NULL,NULL,NULL,NULL,NULL,NULL
"133",,,"""ورد في نص البند 82.09 عبارة أطراف ورؤوس، بينما وردت في نص نفس البند بالإنكليزية، (لويحات """"plates""""وعيدان """"sticks)""""، كما لم يرد في نص الجدول المذكور أعلاه عبارة (وأصناف مماثلة """"and the like"""" ) الواردة في نص نفس البند المترجم عنه.""","82090000",,,"ملاحظة إضافية  7",NULL,NULL,NULL,NULL,NULL,NULL
"134",,,"""وردت عبارة """"غير قابلة للطي"""" في نص البندين الفرعيين 8211.91 و8211.92 بينما ورد وصف (ثابتة """"fixed """"باللغة الإنكليزية أو """"fixes """"بالفرنسية) في نص البندين الفرعيين الآنفي الذكر فيما يقابل تلك العبارة التي تعتبر شرحاً للوصف المذكور ""","82119100",,,"ملاحظة إضافية 10",NULL,NULL,NULL,NULL,NULL,NULL
"135",,,"""وردت عبارة """"غير قابلة للطي"""" في نص البندين الفرعيين 8211.91 و8211.92 بينما ورد وصف (ثابتة """"fixed """"باللغة الإنكليزية أو """"fixes """"بالفرنسية) في نص البندين الفرعيين الآنفي الذكر فيما يقابل تلك العبارة التي تعتبر شرحاً للوصف المذكور ""","82119200",,,"ملاحظة إضافية 10",NULL,NULL,NULL,NULL,NULL,NULL
"136",,,"""وردت كلمة """"أقفال"""" في نص البند الفرعي 8301.10 ويقابلها في النص الفرنسي للبند نفسه كلمة """"cadenas """"وترجمتها """"قفل نقال"""" وفقاً للمعجم كما يقابلها بالإنكليزية """"padlock """"ويعرّفها المعجم (بأنها القفل الذي يمكن وضعه ورفعه بعد الاستعمال""""a lock that can be put on and taken away"""") . كما وردت كلمة """"أغلاق"""" في نص البند الفرعي 8301.50 مقابل كلمة fermoirs """" في النص الفرنسي، وهي تعني وفقا للمعجم""""مشبك"""" يقابلها""""clasps """"في النص الإنكليزي وهي تعني إبزيم وفقاً للمعجم الذي أورد كلمة """" buckle"""" كمرادف لها.""","83011000",,,"ملاحظة إضافية 1",NULL,NULL,NULL,NULL,NULL,NULL
"137",,,"""وردت عبارة """" سلالم """" في نص البند 83.02 ويقصد بها (السلم الثابت """" الدرج"""" ويقابلها في نص نفس البند بالفرنسية """" escaliers"""" أما السلم النقال فتقابله كلمة"""" echelle"""" وفقاً للمعجم كما أن المقصود بكلمة """"ستائر"""" الواردة في نص نفس البند فهو ما يعرف محلياً """" بالأباجورات"""" . ورد تعبير """"مشاجب"""" في نص البند الفرعي 830250 ترجمة لكلمة"""" pateres"""" يقصد بها الحامل المثبت على الحائط لتعليق الملابس  support fixe a un mur pour"""" """"accrocher des vetements""","83025000",,,"ملاحظة إضافية 2",NULL,NULL,NULL,NULL,NULL,NULL
"138",,,"""وردت عبارة """"علب وصناديق للنقود أو المستندات"""" في نص البند 83.03 من جدول التعريفة الجمركية المعد وفقاً النظام المنسق وتعديلاته لعام 1996 من قبل """"الأمانة العامة الإدارة العامة للشؤون الاقتصادية، إدارة المال والتجارة والاستثمار لدى جامعة الدول العربية"""" يقابلها في نص البند نفسه بالإنكليزية """" cash or deed boxes"""" ما نص نفس البند نفسه باللغة الفرنسية فهو """" coffres et cassettes de surete """" أي """" صناديق و علب مأمونة"""".""","83030000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
"139",,,"""ورد في نص الند 83.04 عبارة حوامل للأقلام """" pen trays  """" ويقابلها في نص نفس البند بالفرنسية """" plumiers """" وتعني وفقاً """" مقلمة """" وتعرف بأنها علب مستطيلة الشكل يضع فيها الطالب أقلام الحبر أو الرصاص إلخ""","83040000",,,"ملاحظة إضافية 4 ",NULL,NULL,NULL,NULL,NULL,NULL
"14",,,"""يقصد بعبارة (حبوب العصافير """"seeds Canary )""""الواردة في نص البند1008 بذور البريقة (اللامعة) فالاريس كانارينيسيس .""""Phalaris Canariensis""""""","10083000",,,"ملاحظة إضافية 2",NULL,NULL,NULL,NULL,NULL,NULL
"140",,,"""وردت في نص البند 83.05 كلمة """" تركيبات """" ويقابلها في النص الفرنسي للبند نفسه كلمة """"mecanismes """"ويقصد بها تلك التي تؤمن عمل المصنفات أو الملفات بشكل بشكل آلي  (ميكانيكي"""" يسمح بضم الأوراق وتثبيتها لأجل حفظها"""")وردت عبارة """"مشابك خارزة بشكل أمشاط""""في نص البند الفرعي8305.20 ويقابلها في النص الإنكليزي للبند نفسه عبارة """" staples in strips """" وهي تعني سلك صغير له شكل  حرف """" U """" معد لكي يغرز طرفاه في مجموعة أوراق ثم يلويان،ولكي يدخل في هذا لبند يجب أن يكون مجمعا بشكل أمشاط """" barettes"""" جاهزة للاستعمال في آلات الخرز.""","83051000",,,"ملاحظة إضافية 5",NULL,NULL,NULL,NULL,NULL,NULL
"141",,,"""وردت عبارة """"أغطية تاجية"""" في نص البند 83.09 والبند الفرعي 8309.10 في الجدول المذكور في الفقرة 3 أعلاه مقابل العبارة الواردة في نص نفس البند الفرنسي""""bouchon-couronnes """" أو """" crown corks  """" في نص نفس البند الإنكليزي وتعني كلّ من كلمة """"bouchon """"أو """" cork """" طبقا للمعاجم """" سدادة """" أما كلمة """"غطاء"""" فيقابلها بالفرنسية""""couvercle """"وبالإنكليزية """"cover """"وقد ورد وصف""""السّدادات التاجية"""" في بند فرعي وطني رقم /83/13آ في جدول تعريفة الرسوم الجمركية الصادر بدمشق عام 1989 بأنها """"سّدادات معدنية ذات حواف مشرشرة وإن كانت مبطنة بفلّين.""","83091000",,,"ملاحظة إضافية 7",NULL,NULL,NULL,NULL,NULL,NULL
"142",,,"""وردت عبارة """"مضخات تدار يدوياً"""" في نص البند الفرعي 8413.20 بينما وردت (مضخات يدوية """"pumps hand """")في النص الإنكليزي لنفس البند الفرعي و(مضخات بذراع """" pompe a bras """" )  في النص الفرنسي أما عبارة """"مضخات تدار يدوياً  فهي ترجمة لعبارة """" hand -operated pumps""""التي وردت في الشروح الإنكليزية للبند 84.10 من الجدول السابق المقابل للبند 84.13 من النظام المنسق""","84132000",,,"ملاحظة إضافية 2",NULL,NULL,NULL,NULL,NULL,NULL
"143",,,"""يشمل البند الفرعي 8414.60 أجهزة شفط الأبخرة بمراوح مندمجة بها التي تركب فوق أفران ومواقد الطبخ """"Cooker hoods """" .""","84146000",,,"ملاحظة إضافية 3",NULL,NULL,NULL,NULL,NULL,NULL
